,公司代码,公司简称,公司全称
0,600000,浦发银行,上海浦东发展银行股份有限公司
1,600004,白云机场,广州白云国际机场股份有限公司
2,600006,东风汽车,东风汽车股份有限公司
3,600007,中国国贸,中国国际贸易中心股份有限公司
4,600008,首创股份,北京首创股份有限公司
5,600009,上海机场,上海国际机场股份有限公司
6,600010,包钢股份,内蒙古包钢钢联股份有限公司
7,600011,华能国际,华能国际电力股份有限公司
8,600012,皖通高速,安徽皖通高速公路股份有限公司
9,600015,华夏银行,华夏银行股份有限公司
10,600016,民生银行,中国民生银行股份有限公司
11,600017,日照港,日照港股份有限公司
12,600018,上港集团,上海国际港务（集团）股份有限公司
13,600019,宝钢股份,宝山钢铁股份有限公司
14,600020,中原高速,河南中原高速公路股份有限公司
15,600021,上海电力,上海电力股份有限公司
16,600022,山东钢铁,山东钢铁股份有限公司
17,600023,浙能电力,浙江浙能电力股份有限公司
18,600026,中远海能,中远海运能源运输股份有限公司
19,600027,华电国际,华电国际电力股份有限公司
20,600028,中国石化,中国石油化工股份有限公司
21,600029,南方航空,中国南方航空股份有限公司
22,600030,中信证券,中信证券股份有限公司
23,600031,三一重工,三一重工股份有限公司
24,600033,福建高速,福建发展高速公路股份有限公司
25,600035,楚天高速,湖北楚天高速公路股份有限公司
26,600036,招商银行,招商银行股份有限公司
27,600037,歌华有线,北京歌华有线电视网络股份有限公司
28,600038,中直股份,中航直升机股份有限公司
29,600039,四川路桥,四川路桥建设集团股份有限公司
30,600048,保利地产,保利房地产（集团）股份有限公司
31,600050,中国联通,中国联合网络通信股份有限公司
32,600051,宁波联合,宁波联合集团股份有限公司
33,600052,浙江广厦,浙江广厦股份有限公司
34,600053,九鼎投资,昆吾九鼎投资控股股份有限公司
35,600054,黄山旅游,黄山旅游发展股份有限公司
36,600055,万东医疗,华润万东医疗装备股份有限公司
37,600056,中国医药,中国医药健康产业股份有限公司
38,600057,象屿股份,厦门象屿股份有限公司
39,600058,五矿发展,五矿发展股份有限公司
40,600059,古越龙山,浙江古越龙山绍兴酒股份有限公司
41,600060,海信电器,青岛海信电器股份有限公司
42,600061,国投安信,国投安信股份有限公司
43,600062,华润双鹤,华润双鹤药业股份有限公司
44,600063,皖维高新,安徽皖维高新材料股份有限公司
45,600064,南京高科,南京高科股份有限公司
46,600066,宇通客车,郑州宇通客车股份有限公司
47,600067,冠城大通,冠城大通股份有限公司
48,600068,葛洲坝,中国葛洲坝集团股份有限公司
49,600069,银鸽投资,河南银鸽实业投资股份有限公司
50,600070,浙江富润,浙江富润股份有限公司
51,600071,凤凰光学,凤凰光学股份有限公司
52,600072,钢构工程,中船钢构工程股份有限公司
53,600073,上海梅林,上海梅林正广和股份有限公司
54,600074,保千里,江苏保千里视像科技集团股份有限公司
55,600075,新疆天业,新疆天业股份有限公司
56,600076,康欣新材,康欣新材料股份有限公司
57,600077,宋都股份,宋都基业投资股份有限公司
58,600078,澄星股份,江苏澄星磷化工股份有限公司
59,600079,人福医药,人福医药集团股份公司
60,600080,金花股份,金花企业（集团）股份有限公司
61,600081,东风科技,东风电子科技股份有限公司
62,600082,海泰发展,天津海泰科技发展股份有限公司
63,600083,博信股份,广东博信投资控股股份有限公司
64,600084,中葡股份,中信国安葡萄酒业股份有限公司
65,600085,同仁堂,北京同仁堂股份有限公司
66,600086,东方金钰,东方金钰股份有限公司
67,600089,特变电工,特变电工股份有限公司
68,600091,ST明科,包头明天科技股份有限公司
69,600093,禾嘉股份,四川禾嘉股份有限公司
70,600094,大名城,上海大名城企业股份有限公司
71,600095,哈高科,哈尔滨高科技（集团）股份有限公司
72,600096,云天化,云南云天化股份有限公司
73,600097,开创国际,上海开创国际海洋资源股份有限公司
74,600098,广州发展,广州发展集团股份有限公司
75,600099,林海股份,林海股份有限公司
76,600100,同方股份,同方股份有限公司
77,600101,明星电力,四川明星电力股份有限公司
78,600103,青山纸业,福建省青山纸业股份有限公司
79,600104,上汽集团,上海汽车集团股份有限公司
80,600105,永鼎股份,江苏永鼎股份有限公司
81,600106,重庆路桥,重庆路桥股份有限公司
82,600107,美尔雅,湖北美尔雅股份有限公司
83,600108,亚盛集团,甘肃亚盛实业（集团）股份有限公司
84,600109,国金证券,国金证券股份有限公司
85,600110,诺德股份,诺德投资股份有限公司
86,600111,北方稀土,中国北方稀土（集团）高科技股份有限公司
87,600112,天成控股,贵州长征天成控股股份有限公司
88,600113,浙江东日,浙江东日股份有限公司
89,600114,东睦股份,东睦新材料集团股份有限公司
90,600115,东方航空,中国东方航空股份有限公司
91,600116,三峡水利,重庆三峡水利电力（集团）股份有限公司
92,600117,西宁特钢,西宁特殊钢股份有限公司
93,600118,中国卫星,中国东方红卫星股份有限公司
94,600119,长江投资,长发集团长江投资实业股份有限公司
95,600120,浙江东方,浙江东方集团股份有限公司
96,600121,郑州煤电,郑州煤电股份有限公司
97,600122,宏图高科,江苏宏图高科技股份有限公司
98,600123,兰花科创,山西兰花科技创业股份有限公司
99,600125,铁龙物流,中铁铁龙集装箱物流股份有限公司
100,600126,杭钢股份,杭州钢铁股份有限公司
101,600127,金健米业,金健米业股份有限公司
102,600128,弘业股份,江苏弘业股份有限公司
103,600129,太极集团,重庆太极实业（集团）股份有限公司
104,600130,波导股份,宁波波导股份有限公司
105,600131,岷江水电,四川岷江水利电力股份有限公司
106,600132,重庆啤酒,重庆啤酒股份有限公司
107,600133,东湖高新,武汉东湖高新集团股份有限公司
108,600135,乐凯胶片,乐凯胶片股份有限公司
109,600136,当代明诚,武汉当代明诚文化股份有限公司
110,600137,浪莎股份,四川浪莎控股股份有限公司
111,600138,中青旅,中青旅控股股份有限公司
112,600139,西部资源,四川西部资源控股股份有限公司
113,600141,兴发集团,湖北兴发化工集团股份有限公司
114,600143,金发科技,金发科技股份有限公司
115,600145,*ST新亿,新疆亿路万源实业投资控股股份有限公司
116,600146,商赢环球,商赢环球股份有限公司
117,600148,长春一东,长春一东离合器股份有限公司
118,600149,廊坊发展,廊坊发展股份有限公司
119,600150,中国船舶,中国船舶工业股份有限公司
120,600151,航天机电,上海航天汽车机电股份有限公司
121,600152,维科精华,宁波维科精华集团股份有限公司
122,600153,建发股份,厦门建发股份有限公司
123,600155,宝硕股份,河北宝硕股份有限公司
124,600156,华升股份,湖南华升股份有限公司
125,600157,永泰能源,永泰能源股份有限公司
126,600158,中体产业,中体产业集团股份有限公司
127,600159,大龙地产,北京市大龙伟业房地产开发股份有限公司
128,600160,巨化股份,浙江巨化股份有限公司
129,600161,天坛生物,北京天坛生物制品股份有限公司
130,600162,香江控股,深圳香江控股股份有限公司
131,600163,中闽能源,中闽能源股份有限公司
132,600165,新日恒力,宁夏新日恒力钢丝绳股份有限公司
133,600166,福田汽车,北汽福田汽车股份有限公司
134,600167,联美控股,联美量子股份有限公司
135,600168,武汉控股,武汉三镇实业控股股份有限公司
136,600169,太原重工,太原重工股份有限公司
137,600170,上海建工,上海建工集团股份有限公司
138,600171,上海贝岭,上海贝岭股份有限公司
139,600172,黄河旋风,河南黄河旋风股份有限公司
140,600173,卧龙地产,卧龙地产集团股份有限公司
141,600175,美都能源,美都能源股份有限公司
142,600176,中国巨石,中国巨石股份有限公司
143,600177,雅戈尔,雅戈尔集团股份有限公司
144,600178,东安动力,哈尔滨东安汽车动力股份有限公司
145,600179,安通控股,安通控股股份有限公司
146,600180,瑞茂通,瑞茂通供应链管理股份有限公司
147,600182,S佳通,佳通轮胎股份有限公司
148,600183,生益科技,广东生益科技股份有限公司
149,600184,光电股份,北方光电股份有限公司
150,600185,格力地产,格力地产股份有限公司
151,600186,莲花健康,莲花健康产业集团股份有限公司
152,600187,国中水务,黑龙江国中水务股份有限公司
153,600188,兖州煤业,兖州煤业股份有限公司
154,600189,吉林森工,吉林森林工业股份有限公司
155,600190,锦州港,锦州港股份有限公司
156,600191,华资实业,包头华资实业股份有限公司
157,600192,长城电工,兰州长城电工股份有限公司
158,600193,创兴资源,上海创兴资源开发股份有限公司
159,600195,中牧股份,中牧实业股份有限公司
160,600196,复星医药,上海复星医药（集团）股份有限公司
161,600197,伊力特,新疆伊力特实业股份有限公司
162,600198,大唐电信,大唐电信科技股份有限公司
163,600199,金种子酒,安徽金种子酒业股份有限公司
164,600200,江苏吴中,江苏吴中实业股份有限公司
165,600201,生物股份,金宇生物技术股份有限公司
166,600202,哈空调,哈尔滨空调股份有限公司
167,600203,福日电子,福建福日电子股份有限公司
168,600206,有研新材,有研新材料股份有限公司
169,600207,安彩高科,河南安彩高科股份有限公司
170,600208,新湖中宝,新湖中宝股份有限公司
171,600209,罗顿发展,罗顿发展股份有限公司
172,600210,紫江企业,上海紫江企业集团股份有限公司
173,600211,西藏药业,西藏诺迪康药业股份有限公司
174,600212,*ST江泉,山东江泉实业股份有限公司
175,600213,亚星客车,扬州亚星客车股份有限公司
176,600215,长春经开,长春经开（集团）股份有限公司
177,600216,浙江医药,浙江医药股份有限公司
178,600217,中再资环,中再资源环境股份有限公司
179,600218,全柴动力,安徽全柴动力股份有限公司
180,600219,南山铝业,山东南山铝业股份有限公司
181,600220,江苏阳光,江苏阳光股份有限公司
182,600221,海南航空,海南航空股份有限公司
183,600222,太龙药业,河南太龙药业股份有限公司
184,600223,鲁商置业,鲁商置业股份有限公司
185,600225,天津松江,天津松江股份有限公司
186,600226,升华拜克,浙江升华拜克生物股份有限公司
187,600227,赤天化,贵州赤天化股份有限公司
188,600228,昌九生化,江西昌九生物化工股份有限公司
189,600229,城市传媒,青岛城市传媒股份有限公司
190,600230,*ST沧大,沧州大化股份有限公司
191,600231,凌钢股份,凌源钢铁股份有限公司
192,600232,金鹰股份,浙江金鹰股份有限公司
193,600233,圆通速递,圆通速递股份有限公司
194,600234,广和山水,山西广和山水文化传播股份有限公司
195,600235,民丰特纸,民丰特种纸股份有限公司
196,600236,桂冠电力,广西桂冠电力股份有限公司
197,600237,铜峰电子,安徽铜峰电子股份有限公司
198,600238,海南椰岛,海南椰岛（集团）股份有限公司
199,600239,西部资源,四川西部资源控股股份有限公司
200,600240,西部资源,北京华业资本控股股份有限公司
201,600241,时代万恒,辽宁时代万恒股份有限公司
202,600242,中昌数据,中昌大数据股份有限公司
203,600243,青海华鼎,青海华鼎实业股份有限公司
204,600246,万通地产,北京万通地产股份有限公司
205,600247,ST成城,吉林成城集团股份有限公司
206,600248,延长化建,陕西延长石油化建股份有限公司
207,600249,两面针,柳州两面针股份有限公司
208,600250,南纺股份,南京纺织品进出口股份有限公司
209,600251,冠农股份,新疆冠农果茸集团股份有限公司
210,600252,中恒集团,广西梧州中恒集团股份有限公司
211,600255,鑫科材料,安徽鑫科新材料股份有限公司
212,600256,广汇能源,广汇能源股份有限公司
213,600257,大湖股份,大湖水殖股份有限公司
214,600258,首旅酒店,北京首旅酒店（集团）股份有限公司
215,600259,广晟有色,广晟有色金属股份有限公司
216,600260,凯乐科技,湖北凯乐科技股份有限公司
217,600261,阳光照明,浙江阳光照明电器集团股份有限公司
218,600262,北方股份,内蒙古北方重型汽车股份有限公司
219,600265,ST景谷,云南景谷林业股份有限公司
220,600266,北京城建,北京城建投资发展股份有限公司
221,600267,海正药业,浙江海正药业股份有限公司
222,600268,国电南自,国电南京自动化股份有限公司
223,600269,赣粤高速,江西赣粤高速公路股份有限公司
224,600270,外运发展,中外运空运发展股份有限公司
225,600271,航天信息,航天信息股份有限公司
226,600272,开开实业,上海开开实业股份有限公司
227,600273,嘉化能源,浙江嘉化能源化工股份有限公司
228,600275,武昌鱼,湖北武昌鱼股份有限公司
229,600276,恒瑞医药,江苏恒瑞医药股份有限公司
230,600277,亿利洁能,亿利洁能股份有限公司
231,600278,东方创业,东方国际创业股份有限公司
232,600279,重庆港九,重庆港九股份有限公司
233,600280,中央商场,南京中央商场（集团）股份有限公司
234,600281,太化股份,太原化工股份有限公司
235,600282,南钢股份,南京钢铁股份有限公司
236,600283,钱江水利,钱江水利开发股份有限公司
237,600284,浦东建设,上海浦东路桥建设股份有限公司
238,600285,羚锐制药,河南羚锐制药股份有限公司
239,600287,江苏舜天,江苏舜天股份有限公司
240,600288,大恒科技,大恒新纪元科技股份有限公司
241,600289,亿阳信通,亿阳信通股份有限公司
242,600290,华仪电气,华仪电气股份有限公司
243,600291,西水股份,内蒙古西水创业股份有限公司
244,600292,远达环保,国家电投集团远达环保股份有限公司
245,600293,三峡新材,湖北三峡新型建材股份有限公司
246,600295,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司
247,600297,广汇汽车,广汇汽车服务股份公司
248,600298,安琪酵母,安琪酵母股份有限公司
249,600299,安迪苏,蓝星安迪苏股份有限公司
250,600300,维维股份,维维食品饮料股份有限公司
251,600301,*ST南化,南宁化工股份有限公司
252,600302,标准股份,西安标准工业股份有限公司
253,600303,曙光股份,辽宁曙光汽车集团股份有限公司
254,600305,恒顺醋业,江苏恒顺醋业股份有限公司
255,600306,*ST商城,沈阳商业城股份有限公司
256,600307,酒钢宏兴,甘肃酒钢集团宏兴钢铁股份有限公司
257,600308,华泰股份,山东华泰纸业股份有限公司
258,600309,万华化学,万华化学集团股份有限公司
259,600310,桂东电力,广西桂东电力股份有限公司
260,600311,荣华实业,甘肃荣华实业（集团）股份有限公司
261,600312,平高电气,河南平高电气股份有限公司
262,600313,农发种业,中农发种业集团股份有限公司
263,600315,上海家化,上海家化联合股份有限公司
264,600316,洪都航空,江西洪都航空工业股份有限公司
265,600317,营口港,营口港务股份有限公司
266,600318,新力金融,安徽新力金融股份有限公司
267,600319,*ST亚星,潍坊亚星化学股份有限公司
268,600320,振华重工,上海振华重工（集团）股份有限公司
269,600321,国栋建设,四川国栋建设股份有限公司
270,600322,天房发展,天津市房地产发展（集团）股份有限公司
271,600323,瀚蓝环境,瀚蓝环境股份有限公司
272,600325,华发股份,珠海华发实业股份有限公司
273,600326,西藏天路,西藏天路股份有限公司
274,600327,大东方,无锡商业大厦大东方股份有限公司
275,600328,兰太实业,内蒙古兰太实业股份有限公司
276,600329,中新药业,天津中新药业集团股份有限公司
277,600330,天通股份,天通控股股份有限公司
278,600331,宏达股份,四川宏达股份有限公司
279,600332,白云山,广州白云山医药集团股份有限公司
280,600333,长春燃气,长春燃气股份有限公司
281,600335,国机汽车,国机汽车股份有限公司
282,600336,澳柯玛,澳柯玛股份有限公司
283,600337,美克家居,美克国际家居用品股份有限公司
284,600338,西藏珠峰,西藏珠峰资源股份有限公司
285,600339,*ST油工,新疆独山子天利高新技术股份有限公司
286,600340,华夏幸福,华夏幸福基业股份有限公司
287,600343,航天动力,陕西航天动力高科技股份有限公司
288,600345,长江通信,武汉长江通信产业集团股份有限公司
289,600346,恒力股份,恒力石化股份有限公司
290,600348,阳泉煤业,阳泉煤业（集团）股份有限公司
291,600350,山东高速,山东高速股份有限公司
292,600351,亚宝药业,亚宝药业集团股份有限公司
293,600352,浙江龙盛,浙江龙盛集团股份有限公司
294,600353,旭光股份,成都旭光电子股份有限公司
295,600354,敦煌种业,甘肃省敦煌种业股份有限公司
296,600355,精伦电子,精伦电子股份有限公司
297,600356,恒丰纸业,牡丹江恒丰纸业股份有限公司
298,600358,国旅联合,国旅联合股份有限公司
299,600359,新农开发,新疆塔里木农业综合开发股份有限公司
300,600360,华微电子,吉林华微电子股份有限公司
301,600361,华联综超,北京华联综合超市股份有限公司
302,600362,江西铜业,江西铜业股份有限公司
303,600363,联创光电,江西联创光电科技股份有限公司
304,600365,通葡股份,通化葡萄酒股份有限公司
305,600366,宁波韵升,宁波韵升股份有限公司
306,600367,红星发展,贵州红星发展股份有限公司
307,600368,五洲交通,广西五洲交通股份有限公司
308,600369,西南证券,西南证券股份有限公司
309,600370,三房巷,江苏三房巷实业股份有限公司
310,600371,万向德农,万向德农股份有限公司
311,600372,中航电子,中航航空电子系统股份有限公司
312,600373,中文传媒,中文天地出版传媒股份有限公司
313,600375,*ST星马,华菱星马汽车（集团）股份有限公司
314,600376,首开股份,北京首都开发股份有限公司
315,600377,宁沪高速,江苏宁沪高速公路股份有限公司
316,600378,天科股份,四川天一科技股份有限公司
317,600379,宝光股份,陕西宝光真空电器股份有限公司
318,600380,健康元,健康元药业集团股份有限公司
319,600381,青海春天,青海春天药用资源科技股份有限公司
320,600382,广东明珠,广东明珠集团股份有限公司
321,600383,金地集团,金地（集团）股份有限公司
322,600385,山东金泰,山东金泰集团股份有限公司
323,600386,北巴传媒,北京巴士传媒股份有限公司
324,600387,海越股份,浙江海越股份有限公司
325,600388,龙净环保,福建龙净环保股份有限公司
326,600389,江山股份,南通江山农药化工股份有限公司
327,600390,*ST金瑞,金瑞新材料科技股份有限公司
328,600391,成发科技,四川成发航空科技股份有限公司
329,600392,盛和资源,盛和资源控股股份有限公司
330,600393,粤泰股份,广州粤泰集团股份有限公司
331,600395,盘江股份,贵州盘江精煤股份有限公司
332,600397,安源煤业,安源煤业集团股份有限公司
333,600398,海澜之家,海澜之家股份有限公司
334,600399,抚顺特钢,抚顺特殊钢股份有限公司
335,600400,红豆股份,江苏红豆实业股份有限公司
336,600401,海润光伏,海润光伏科技股份有限公司
337,600403,大有能源,河南大有能源股份有限公司
338,600405,动力源,北京动力源科技股份有限公司
339,600406,*ST商城,国电南瑞科技股份有限公司
340,600408,安泰集团,山西安泰集团股份有限公司
341,600409,三友化工,唐山三友化工股份有限公司
342,600410,华胜天成,北京华胜天成科技股份有限公司
343,600415,小商品城,浙江中国小商品城集团股份有限公司
344,600416,湘电股份,湘潭电机股份有限公司
345,600418,江淮汽车,安徽江淮汽车集团股份有限公司
346,600419,天润乳业,新疆天润乳业股份有限公司
347,600420,现代制药,上海现代制药股份有限公司
348,600421,仰帆控股,湖北仰帆控股股份有限公司
349,600422,昆药集团,昆药集团股份有限公司
350,600423,柳化股份,柳州化工股份有限公司
351,600425,青松建化,新疆青松建材化工（集团）股份有限公司
352,600426,华鲁恒升,山东华鲁恒升化工股份有限公司
353,600428,中远海特,中远海运特种运输股份有限公司
354,600429,三元股份,北京三元食品股份有限公司
355,600432,*ST吉恩,吉林吉恩镍业股份有限公司
356,600433,冠豪高新,广东冠豪高新技术股份有限公司
357,600435,北方导航,北方导航控制技术股份有限公司
358,600436,片仔癀,漳州片仔癀药业股份有限公司
359,600438,通威股份,通威股份有限公司
360,600439,瑞贝卡,河南瑞贝卡发制品股份有限公司
361,600444,国机通用,国机通用机械科技股份有限公司
362,600446,金证股份,深圳市金证科技股份有限公司
363,600448,华纺股份,华纺股份有限公司
364,600449,宁夏建材,宁夏建材集团股份有限公司
365,600452,涪陵电力,重庆涪陵电力实业股份有限公司
366,600455,博通股份,西安博通资讯股份有限公司
367,600456,宝钛股份,宝鸡钛业股份有限公司
368,600458,时代新材,株洲时代新材料科技股份有限公司
369,600459,贵研铂业,贵研铂业股份有限公司
370,600460,士兰微,杭州士兰微电子股份有限公司
371,600461,洪城水业,江西洪城水业股份有限公司
372,600462,九有股份,深圳九有股份有限公司
373,600463,空港股份,北京空港科技园区股份有限公司
374,600466,蓝光发展,四川蓝光发展股份有限公司
375,600467,好当家,山东好当家海洋发展股份有限公司
376,600468,百利电气,天津百利特精电气股份有限公司
377,600469,风神股份,风神轮胎股份有限公司
378,600470,六国化工,安徽六国化工股份有限公司
379,600475,华光股份,无锡华光锅炉股份有限公司
380,600476,湘邮科技,湖南湘邮科技股份有限公司
381,600477,杭萧钢构,杭萧钢构股份有限公司
382,600478,科力远,湖南科力远新能源股份有限公司
383,600479,千金药业,株洲千金药业股份有限公司
384,600480,凌云股份,凌云工业股份有限公司
385,600481,双良节能,双良节能系统股份有限公司
386,600482,中国动力,中国船舶重工集团动力股份有限公司
387,600483,福能股份,福建福能股份有限公司
388,600485,信威集团,北京信威科技集团股份有限公司
389,600486,扬农化工,江苏扬农化工股份有限公司
390,600487,亨通光电,江苏亨通光电股份有限公司
391,600488,天药股份,天津天药药业股份有限公司
392,600489,中金黄金,中金黄金股份有限公司
393,600490,鹏欣资源,鹏欣环球资源股份有限公司
394,600491,龙元建设,龙元建设集团股份有限公司
395,600493,凤竹纺织,福建凤竹纺织科技股份有限公司
396,600495,晋西车轴,晋西车轴股份有限公司
397,600496,精工钢构,长江精工钢结构（集团）股份有限公司
398,600497,驰宏锌锗,云南驰宏锌锗股份有限公司
399,600498,烽火通信,烽火通信科技股份有限公司
400,600499,科达洁能,广东科达洁能股份有限公司
401,600500,中化国际,中化国际（控股）股份有限公司
402,600501,航天晨光,航天晨光股份有限公司
403,600502,安徽水利,安徽水利开发股份有限公司
404,600503,华丽家族,华丽家族股份有限公司
405,600505,西昌电力,四川西昌电力股份有限公司
406,600506,香梨股份,新疆库尔勒香梨股份有限公司
407,600507,香梨股份,方大特钢科技股份有限公司
408,600508,上海能源,上海大屯能源股份有限公司
409,600509,天富能源,新疆天富能源股份有限公司
410,600510,黑牡丹,黑牡丹（集团）股份有限公司
411,600511,国药股份,国药集团药业股份有限公司
412,600512,腾达建设,腾达建设集团股份有限公司
413,600513,联环药业,江苏联环药业股份有限公司
414,600515,海航基础,海南海航基础设施投资集团股份有限公司
415,600516,方大炭素,方大炭素新材料科技股份有限公司
416,600517,置信电气,上海置信电气股份有限公司
417,600518,康美药业,康美药业股份有限公司
418,600519,贵州茅台,贵州茅台酒股份有限公司
419,600520,*ST中发,铜陵中发三佳科技股份有限公司
420,600521,华海药业,浙江华海药业股份有限公司
421,600522,中天科技,江苏中天科技股份有限公司
422,600523,贵航股份,贵州贵航汽车零部件股份有限公司
423,600525,长园集团,长园集团股份有限公司
424,600526,菲达环保,浙江菲达环保科技股份有限公司
425,600527,菲达环保,江苏江南高纤股份有限公司
426,600528,中铁二局,中铁高新工业股份有限公司
427,600529,山东药玻,山东省药用玻璃股份有限公司
428,600530,交大昂立,上海交大昂立股份有限公司
429,600531,豫光金铅,河南豫光金铅股份有限公司
430,600532,宏达矿业,上海宏达矿业股份有限公司
431,600533,栖霞建设,南京栖霞建设股份有限公司
432,600535,天士力,天士力制药集团股份有限公司
433,600536,中国软件,中国软件与技术服务股份有限公司
434,600537,亿晶光电,亿晶光电科技股份有限公司
435,600538,国发股份,北海国发海洋生物产业股份有限公司
436,600539,ST狮头,太原狮头水泥股份有限公司
437,600540,新赛股份,新疆赛里木现代农业股份有限公司
438,600543,莫高股份,甘肃莫高实业发展股份有限公司
439,600545,新疆城建,新疆城建（集团）股份有限公司
440,600546,*ST山煤,山煤国际能源集团股份有限公司
441,600547,山东黄金,山东黄金矿业股份有限公司
442,600548,深高速,深圳高速公路股份有限公司
443,600549,厦门钨业,厦门钨业股份有限公司
444,600550,保变电气,保定天威保变电气股份有限公司
445,600551,时代出版,时代出版传媒股份有限公司
446,600552,凯盛科技,凯盛科技股份有限公司
447,600555,海航创新,海航创新（海南）股份有限公司
448,600556,ST慧球,广西慧球科技股份有限公司
449,600557,康缘药业,江苏康缘药业股份有限公司
450,600558,600558,四川大西洋焊接材料股份有限公司
451,600559,老白干酒,河北衡水老白干酒业股份有限公司
452,600560,金自天正,北京金自天正智能控制股份有限公司
453,600561,江西长运,江西长运股份有限公司
454,600562,国睿科技,国睿科技股份有限公司
455,600563,法拉电子,厦门法拉电子股份有限公司
456,600565,迪马股份,重庆市迪马实业股份有限公司
457,600566,济川药业,湖北济川药业股份有限公司
458,600567,山鹰纸业,安徽山鹰纸业股份有限公司
459,600568,中珠医疗,中珠医疗控股股份有限公司
460,600569,安阳钢铁,安阳钢铁股份有限公司
461,600570,恒生电子,恒生电子股份有限公司
462,600571,信雅达,信雅达系统工程股份有限公司
463,600572,康恩贝,浙江康恩贝制药股份有限公司
464,600573,惠泉啤酒,福建省燕京惠泉啤酒股份有限公司
465,600575,皖江物流,安徽皖江物流（集团）股份有限公司
466,600576,万家文化,浙江万好万家文化股份有限公司
467,600577,精达股份,铜陵精达特种电磁线股份有限公司
468,600578,京能电力,北京京能电力股份有限公司
